Nom du jeu,Type MBTI
Genshin Impact,ENFP
Danganronpa,ENTP
Among Us,ENTP
Animal Crossing,ISFJ
Minecraft,ISTP
Life is Strange,INFP
Undertale,INFP
Naruto,ENFP
The Sims,ENFJ
League of Legends,ENTP
Ace Attorney,ENTP
Grand Theft Auto,ESTP
Geometry Dash,ISTP
OMORI,INFP
Dark Souls,ISTP
Pokemon,ENFP
Persona,INFJ
Overwatch,ENFP
Roblox,ENFP
Portal,INTP
Silent Hill,INFP
Stardew Valley,ISFJ
Hollow Knight,INFP
The Last of Us,INFJ
Yume Nikki,INTP
Fallout,ENTP
Super Smash Bros,ENFJ
The Elder Scrolls,INTP
Hitman,ISTP
The Walking Dead,INFJ
Fire Emblem,INTJ
Yandere Simulator,INFJ
Final Fantasy,INFJ
Red Dead Redemption,ISTP
The Legend of Zelda,INTP
BioShock,INTJ
BanG Dream,ENFP
Fortnite,ESFP
Touhou Project,INTP
Tetris,ISTP
Kirby,ENFP
Little Nightmares,INFP
Club Penguin,ENFP
Cyberpunk 2077,ENTP
Bloodborne,INFJ
Assassin's Creed,ISTP
Angry Birds,ESTJ
One Piece,INTP
Castlevania,ISFJ
Counter-Strike,ISTP
Half-Life,INTP
Devil May Cry,ISTP
Osu!,ISFP
Yakuza,ESTP
Call of Duty,ESTP
Halo,INTP
VALORANT,ISTP
Doki Doki Literature Club!,INFP
Sky: Children of the Light,ESFJ
Candy Crush,ESFJ
Age of Empires,ENTJ
Civilization,INTJ
Just Dance,ESFP
Batman: Arkham,INTJ
Five Nights at Freddy’s,INTP
Doom,ISTP
The Witcher,ISTP
Kingdom Hearts,ENFP
Detroit Become Human,INFP
Borderlands,ENTP
Baba is you,INTP
Mortal Kombat,ISTP
Boku no Hero Academia,INFJ
Garry’s Mod,ENTP
Plants vs. Zombies,INTP
Metal Gear,INTP
Team Fortress,ENTP
Steins;Gate,INTP
The Stanley Parable,INTP
Until Dawn,INFP
Nier,INFJ
Subway Surfers,ESFP
Europa Universalis,INTJ
5D Chess With Multiverse Time Travel,ENTP
South Park,ENTP
Mario Kart,ESFP
Hearts of Iron,ENTJ
Resident Evil,ISTP
Attack on Titan (game),INFJ
Mass Effect,INTP
Uncharted,ESTP
Crash Bandicoot,ESTP
MovieStarPlanet,ESFP
Spore,ENTP
Fall Guys,ESFP
Dragon Age,INFJ
Ensemble Stars!,ENTP
American McGee's Alice,INTP
Clash Royale,ENTJ
Cooking Mama,ESFJ
